Date,Open,High,Low,Close,Adj Close,Volume
2008-02-07,624.084290,638.943481,596.124329,600.668762,541.898987,12652987
2008-02-08,603.058594,611.206360,591.889465,600.904053,542.111206,12761183
2008-02-11,597.833130,597.833130,553.503357,563.904724,508.731873,19222870
2008-02-12,564.895386,599.319031,558.951721,575.754944,519.422791,16448466
2008-02-13,586.936401,611.441650,581.995789,591.765625,533.867004,19171213
2008-02-14,606.748657,627.303772,606.748657,623.279419,562.297485,11626860
2008-02-15,620.344727,643.896484,610.711060,642.398193,579.545593,8691646
2008-02-18,643.896484,647.611267,628.542053,632.430176,570.552795,5267986
2008-02-19,641.419983,648.354248,626.560852,632.640686,570.742798,6495670
2008-02-20,619.180786,631.513855,609.720459,615.168823,554.980408,8914103
2008-02-21,621.607788,629.285034,609.571838,618.214966,557.728394,6490881
2008-02-22,604.841675,614.178223,598.080811,602.897644,543.909790,8005596
2008-02-25,617.893005,635.228638,596.854919,631.872986,570.050110,7484576
2008-02-26,635.203918,640.429382,627.080872,638.113831,575.680359,5903324
2008-02-27,645.134766,653.307312,636.479309,641.036133,578.316711,10762911
2008-02-28,638.943481,643.896484,623.267029,627.365723,565.983948,11394437
2008-02-29,632.009155,632.009155,596.842529,610.079529,550.389038,13474162
2008-03-03,594.316467,594.316467,567.012756,571.086670,515.211182,12229773
2008-03-04,574.553833,579.011536,547.312012,555.534119,501.180298,18391128
2008-03-05,554.766357,574.553833,551.546875,567.805298,512.250854,11859944
2008-03-07,564.325745,564.325745,536.477234,556.784729,502.308533,13421637
2008-03-10,547.534912,566.827026,525.605286,563.297974,508.184570,21172126
2008-03-11,557.218140,583.221619,545.925171,581.463318,524.572571,14804490
2008-03-12,599.021851,601.399353,584.459900,588.075623,530.537903,12905155
2008-03-13,567.124207,575.792053,545.231750,555.496948,501.146759,16357105
2008-03-14,557.218140,579.482117,552.339355,575.197693,518.920044,11049688
2008-03-17,559.967102,562.914124,533.691162,539.932007,487.104736,19016064
2008-03-18,557.168579,557.168579,525.023315,532.700500,480.580902,16012303
2008-03-19,557.218140,580.745117,531.251770,534.706543,482.390564,13727852
2008-03-24,534.929382,547.237732,526.360657,544.897400,491.584320,12054346
2008-03-25,548.550293,575.779663,548.550293,573.018372,516.953918,12578148
2008-03-26,578.020935,578.528625,562.307373,569.464539,513.747742,9415426
2008-03-27,567.124207,573.067871,555.732239,562.369324,507.346741,16750781
2008-03-28,578.020935,586.416382,552.673706,582.590149,525.589050,15927402
2008-03-31,570.838989,578.268616,557.242920,561.131042,506.229645,12503673
2008-04-01,569.353088,588.174683,555.608398,580.807007,523.980530,12371532
2008-04-02,593.127747,607.442078,577.030334,580.386047,523.600769,14797447
2008-04-03,581.983398,598.823730,580.992798,593.387756,535.330322,7985988
2008-04-04,590.651245,598.056030,572.498291,574.838623,518.596008,10039353
2008-04-07,558.765930,601.721313,558.765930,595.579529,537.307678,10631202
2008-04-08,594.366028,600.024841,584.447510,589.846375,532.135498,11385764
2008-04-09,583.221619,602.241333,582.243408,598.885681,540.290405,9214391
2008-04-10,600.557312,623.935730,595.851929,611.367371,551.550781,14805576
2008-04-11,629.037354,635.723999,610.587219,631.897766,570.072571,17309560
2008-04-15,622.821289,653.059631,615.750793,646.818787,583.533569,17229343
2008-04-16,648.861938,660.241577,647.685608,654.421753,590.392761,14544520
2008-04-17,663.758240,673.119507,648.973389,653.815002,589.845398,10122619
2008-04-21,651.251770,663.708679,649.369629,654.694153,590.638550,8537543
2008-04-22,644.144165,662.470459,643.190674,645.716736,582.539307,11599793
2008-04-23,646.868347,651.821411,635.971619,638.349060,575.892578,12825305
2008-04-24,643.896484,643.896484,633.086487,639.599731,577.020813,13341270
