Date,Open,High,Low,Close,Adj Close,Volume
2008-02-26,520.420044,525.000000,512.400024,516.109985,427.401215,1799890
2008-02-27,519.000000,543.299988,519.000000,538.099976,445.611603,2016295
2008-02-28,538.000000,561.000000,538.000000,549.630005,455.159912,3950100
2008-02-29,550.000000,567.940002,543.049988,559.270020,463.142944,3982105
2008-03-03,555.400024,555.400024,503.399994,514.280029,425.885803,3579085
2008-03-04,515.000000,543.960022,505.049988,526.190002,435.748688,3193875
2008-03-05,512.200012,562.000000,512.200012,553.329956,458.223846,3302660
2008-03-07,543.000000,543.000000,516.010010,525.039978,434.796356,2848150
2008-03-10,505.049988,548.799988,502.200012,510.770020,422.979095,12495995
2008-03-11,509.000000,510.399994,498.000000,500.459991,414.441162,6854250
2008-03-12,500.459991,500.459991,500.459991,500.459991,414.441162,0
2008-03-13,502.220032,509.000000,482.399994,500.029968,414.085052,3890400
2008-03-14,490.200012,506.000000,488.000000,500.459991,414.441162,2764995
2008-03-17,481.000000,484.989990,437.000000,445.309998,368.770325,7454620
2008-03-18,439.799988,476.000000,425.000000,442.179993,366.178314,7689755
2008-03-19,450.200012,470.000000,430.470032,442.799988,366.691711,3946065
2008-03-24,464.929993,479.000000,451.000000,475.940002,394.135651,3941765
2008-03-25,486.000000,527.000000,485.049988,519.080017,429.860779,4838050
2008-03-26,523.799988,543.799988,519.000000,534.029968,442.241180,4188125
2008-03-27,532.000000,539.000000,519.000000,533.140015,441.504150,3804725
2008-03-28,532.000000,539.539978,507.279999,522.789978,432.933105,5121720
2008-03-31,515.989990,522.799988,470.270020,475.950012,394.143890,5571790
2008-04-01,488.600006,494.600006,458.010010,472.390015,391.195801,3364005
2008-04-02,484.799988,504.799988,484.799988,494.579987,409.571808,2607290
2008-04-03,490.000000,499.739990,483.859985,488.989990,404.942657,2476400
2008-04-04,488.989990,493.799988,450.200012,454.940002,376.745209,4277855
2008-04-07,454.799988,472.600006,452.209991,460.270020,381.158997,3486660
2008-04-08,461.399994,467.000000,455.000000,462.040009,382.624756,3252630
2008-04-09,462.040009,489.799988,456.000000,480.729980,398.102264,2379155
2008-04-10,484.000000,489.799988,475.750000,477.739990,395.626221,3236955
2008-04-11,484.799988,487.989990,474.399994,476.020020,394.201904,2906195
2008-04-15,473.000000,478.959991,459.000000,475.290009,393.597412,4267860
2008-04-16,477.000000,489.959991,465.109985,477.459991,395.394348,1932410
2008-04-17,485.000000,507.000000,480.399994,496.750000,411.368866,3699195
2008-04-21,500.399994,521.989990,492.000000,497.910004,412.329468,2848200
2008-04-22,509.799988,519.000000,488.200012,517.070007,428.196320,1935195
2008-04-23,517.070007,518.799988,502.000000,512.679993,424.560822,1833575
2008-04-24,512.000000,527.539978,512.000000,518.900024,429.711761,2736605
2008-04-25,516.000000,542.599976,516.000000,538.950012,446.315521,4187080
2008-04-28,542.000000,548.799988,539.000000,544.049988,450.538879,1370260
2008-04-29,544.080017,583.000000,542.309998,577.760010,478.454895,4906560
2008-04-30,580.000000,580.029968,555.000000,560.000000,463.747437,5606955
2008-05-02,562.000000,577.799988,551.400024,554.960022,459.573639,5058315
2008-05-05,559.000000,565.539978,539.000000,542.260010,449.056610,2790275
2008-05-06,541.000000,549.000000,526.109985,544.580017,450.977936,3413745
2008-05-07,545.000000,553.190002,542.420044,546.479980,452.551270,2917290
2008-05-08,543.599976,547.799988,542.599976,544.510010,450.919891,4510145
2008-05-09,546.880005,546.880005,526.029968,528.900024,437.992981,2794355
2008-05-12,530.000000,543.770020,522.020020,540.049988,447.226440,2006710
2008-05-13,545.000000,547.799988,522.200012,530.270020,439.127411,2952900
2008-05-14,530.000000,556.940002,526.020020,547.739990,453.594788,4218385
2008-05-15,550.000000,564.400024,542.200012,560.359985,464.045563,3097975
2008-05-16,562.000000,569.000000,549.000000,552.400024,457.453796,3036775
2008-05-20,548.000000,560.000000,545.799988,556.270020,460.658508,3063095
2008-05-21,551.799988,551.799988,531.799988,538.000000,445.528900,4230835
2008-05-22,530.200012,533.570007,520.820007,525.529968,435.202118,2424920
2008-05-23,527.200012,542.599976,527.200012,534.979980,443.027893,2291045
2008-05-26,529.200012,539.799988,506.239990,513.400024,425.157074,2668335
2008-05-27,518.380005,519.599976,498.510010,503.970032,417.347900,3468345
2008-05-28,504.000000,513.799988,496.000000,502.899994,416.461792,6014860
2008-05-29,505.799988,518.799988,475.239990,486.600006,402.963501,4633960
2008-05-30,498.989990,519.799988,492.000000,514.570007,426.125977,3986705
2008-06-02,515.000000,522.000000,499.799988,504.279999,417.604553,1519865
2008-06-03,504.000000,504.000000,486.000000,491.399994,406.938385,2034175
2008-06-04,493.799988,497.739990,478.020020,480.540009,397.945099,1934280
2008-06-05,480.540009,489.799988,473.799988,478.559998,396.305389,4277040
2008-06-06,486.000000,493.799988,467.320007,469.890015,389.125519,5855710
2008-06-09,451.220032,459.980011,422.899994,441.429993,365.557220,8441565
2008-06-10,438.000000,442.989990,412.459991,420.779999,348.456482,8801815
2008-06-11,427.480011,442.399994,423.000000,437.120026,361.988068,4516810
2008-06-12,429.000000,443.000000,400.220001,434.850006,360.108185,8582725
2008-06-13,438.000000,440.000000,421.000000,425.839996,352.646820,4156980
2008-06-16,430.049988,448.600006,429.350006,432.120026,357.847473,5204765
2008-06-17,434.399994,461.600006,433.000000,459.440002,380.471588,3613415
2008-06-18,460.000000,469.000000,454.109985,462.940002,383.370056,4036340
2008-06-19,451.000000,456.980011,438.510010,446.559998,369.805420,2814760
2008-06-20,449.000000,469.000000,428.250000,434.520020,359.834961,8524005
2008-06-23,430.000000,448.959991,428.000000,442.770020,366.666901,5201205
2008-06-24,444.000000,458.000000,430.799988,452.850006,375.014313,4689540
2008-06-25,439.799988,439.980011,427.399994,433.739990,359.188934,5831895
2008-06-26,434.000000,454.000000,434.000000,447.250000,370.376862,9290175
2008-06-27,433.399994,433.399994,406.250000,410.480011,343.770081,5975035
2008-06-30,411.399994,417.000000,386.000000,392.970001,329.105713,6342190
2008-07-01,392.959991,399.940002,358.630005,367.750000,307.984344,5484220
2008-07-02,366.000000,419.600006,350.200012,407.369995,341.165466,9286030
2008-07-03,400.000000,404.000000,373.000000,388.160004,325.077423,5463930
2008-07-04,384.510010,414.799988,384.200012,411.480011,344.607544,3269020
2008-07-07,415.600006,422.000000,402.320007,411.910004,344.967621,2333055
2008-07-08,404.000000,408.760010,396.200012,402.190002,336.827301,3080565
2008-07-09,416.000000,429.940002,412.729980,419.309998,351.165039,3741110
2008-07-10,414.000000,432.779999,411.000000,423.270020,354.481445,4424635
2008-07-11,425.000000,426.600006,394.000000,399.640015,334.691742,4621795
2008-07-14,392.019989,400.000000,381.000000,386.709991,323.863037,4602880
2008-07-15,385.980011,385.980011,350.839996,359.910004,301.418518,6855695
2008-07-16,370.000000,375.000000,336.440002,343.660004,287.809418,7375125
2008-07-17,358.970001,380.000000,351.000000,377.720001,316.334106,9278865
2008-07-18,383.000000,417.000000,380.000000,413.309998,346.140106,8409290
2008-07-21,420.000000,428.220032,404.399994,417.100006,349.314117,9866885
2008-07-22,416.000000,435.100006,412.000000,428.160004,358.576782,7798700
2008-07-23,450.000000,481.000000,440.000000,475.279999,398.038971,12379595
2008-07-24,477.000000,485.000000,465.109985,470.529968,394.060852,9993850
2008-07-25,461.000000,461.000000,432.000000,442.959991,370.971497,6600620
2008-07-28,443.049988,449.399994,437.020020,444.700012,372.428741,4403175
2008-07-29,440.000000,440.000000,411.000000,421.600006,353.082886,4571500
2008-07-30,422.109985,455.299988,422.109985,454.620026,380.736511,3949500
2008-07-31,450.000000,460.989990,446.020020,455.470032,381.448364,4083500
2008-08-01,434.000000,482.980011,433.329987,480.350006,402.285004,4478500
2008-08-04,476.200012,480.000000,465.049988,474.600006,397.469452,5087000
2008-08-05,473.799988,496.940002,472.000000,493.000000,412.879150,6846000
2008-08-06,506.000000,519.780029,472.000000,478.270020,400.543091,7693000
2008-08-07,478.270020,500.000000,478.000000,495.520020,414.989594,4633000
2008-08-08,490.040009,505.000000,486.799988,503.220032,421.438293,3710000
2008-08-11,510.000000,520.000000,502.079987,515.349976,431.596863,5774000
2008-08-12,510.299988,515.799988,490.000000,493.350006,413.172241,5214000
2008-08-13,490.000000,494.000000,478.640015,481.370026,403.139221,5308500
2008-08-14,486.000000,486.000000,452.200012,457.670013,383.290863,4627500
2008-08-18,457.670013,479.799988,450.270020,472.739990,395.911743,5392020
2008-08-19,470.000000,470.000000,445.020020,456.929993,382.671112,4835890
2008-08-20,460.600006,467.079987,450.600006,463.179993,387.905365,4971500
2008-08-21,461.950012,461.950012,440.200012,441.570007,369.807404,4398495
2008-08-22,441.570007,458.600006,430.239990,456.020020,381.909027,4524285
2008-08-25,464.000000,478.410004,462.000000,472.950012,396.087616,5265470
2008-08-26,467.000000,471.570007,462.200012,468.399994,392.277008,4506150
2008-08-27,471.799988,475.000000,455.649994,459.279999,384.639191,5546535
2008-08-28,460.000000,464.899994,446.770020,449.260010,376.247650,7500310
2008-08-29,471.799988,471.899994,460.000000,468.700012,392.528229,5408140
2008-09-01,463.600006,471.799988,454.109985,467.880005,391.841553,2891925
2008-09-02,468.000000,492.929993,462.510010,489.520020,409.964691,6057380
2008-09-04,484.000000,488.940002,470.000000,483.820007,405.191071,7574995
2008-09-05,476.000000,478.000000,454.200012,456.370026,382.202179,7318705
2008-09-08,466.000000,482.970032,466.000000,475.980011,398.625153,5109590
2008-09-09,472.000000,481.000000,464.000000,475.959991,398.608398,3885290
2008-09-10,470.000000,480.000000,461.000000,463.970032,388.567078,5370150
2008-09-11,463.200012,463.200012,447.600006,452.200012,378.709839,4766135
2008-09-12,457.000000,460.000000,433.000000,436.399994,365.477600,6573930
2008-09-15,429.940002,443.989990,407.329987,440.700012,369.078766,7573090
2008-09-16,426.000000,444.799988,416.049988,435.109985,364.397308,6335250
